ADDRESS;METRIC;2018 jan;2018 feb;2018 mar;2018 apr;2018 maj;2018 jun;2018 jul;2018 aug;2018 sep;2018 okt;2018 nov;2018 dec
 †sgatan 1  ;MWh;30622;31540;30435;15790;6128;4652;3769;4374;7297;14860;19948;27720;
 Hemgatan 51 A-F  ;kWh;427;335;330;260;167;143;134;177;210;291;362;412;
 Hemgatan 51 A-F  ;m3;166;153;165;124;77;63;54;63;84;119;141;170;
 Hemgatan 51 A-F  ;MWh;8291;8208;8152;5006;2025;1482;1029;1567;2876;4676;6023;7812;
 Hemgatan 53  ;kWh;352;310;326;310;214;195;185;224;262;314;311;321;
 Hemgatan 53  ;m3;244;233;243;182;121;98;88;92;111;178;214;253;
 Hemgatan 53  ;MWh;13569;13892;13422;7858;3251;2436;1942;2384;3893;7755;10196;13151;
 Hemgatan 55  ;kWh;277;252;246;137;46;30;51;50;93;160;214;279;
 Hemgatan 59 A-D  ;kWh;1937;1829;2149;1995;1281;944;606;701;977;1291;1443;1692;
 Hemgatan 59 A-D  ;m3;274;263;277;215;155;122;111;111;136;210;246;298;
 Hemgatan 59 A-D  ;MWh;14828;15226;14662;8743;3678;2580;2002;2435;4432;8696;11286;14722;
 Hemgatan 61 A-D  ;kWh;67;50;32;26;19;17;16;29;33;41;77;89;
 Hagbacksgatan 30  ;kWh;19568;17515;18990;17746;17832;17309;17315;17301;17739;18923;18593;19722;
 Hagbacksgatan 32  ;m3;1766;1596;1638;1098;545;431;297;414;615;1048;1330;1648;
 Hagbacksgatan 32  ;MWh;97170;95460;93310;54770;21030;16830;9860;17250;28640;49830;65500;86450;
 Honefsgatan 3  ;m3;532;987;1031;672;327;266;219;259;357;615;790;1007;
 Honefsgatan 3  ;MWh;29548;57965;59167;38400;20240;17159;14605;17071;23707;37552;46721;59026;
 Honefsgatan 3  ;kWh;1645;1418;1513;1525;1396;1238;1193;1272;1352;1481;1567;1651;
 Honefsgatan 5  ;kWh;3806;3497;3819;3617;3453;3362;3229;3004;3114;3615;4200;4334;
 Jınisgatan 11-15  ;kWh;1022;933;955;885;958;889;945;975;987;1061;1022;1064;
 Jınisgatan 7-9  ;kWh;2466;2297;2432;2387;2289;2173;2078;1614;1896;1949;1964;2077;
 Tolvmilav−gen 10-18  ;m3;2816;2566;2540;1522;488;331;225;336;716;1534;2066;2763;
 Tolvmilav−gen 10-18  ;MWh;170900;168480;162180;90710;29620;20740;14570;20600;44750;87070;116290;156750;
 Tolvmilav−gen 10-18  ;kWh;2797;2391;2485;2305;2053;1933;2044;2190;2466;2589;2609;2634;
 Tolvmilav−gen 6 A-C  ;m3;1903;1742;1678;1012;731;329;297;305;498;1010;1390;1858;
 Tolvmilav−gen 6 A-C  ;MWh;125130;122680;117950;71140;49270;24250;22770;22450;35520;64500;86070;116180;
 Tolvmilav−gen 6 A-C  ;kWh;6896;5861;6046;5347;5081;5045;5695;5485;4604;5499;5896;6965;
 Logev−gen 2-4  ;kWh;668;706;614;198;59;44;50;72;188;256;389;567;
 Domnarvsv 5A-E, Marknadsg 2F-J  ;kWh;76;64;71;68;66;62;65;71;70;74;73;73;
 Domnarvsv 9A-D,Marknadsg 6E-J  ;kWh;52;41;23;15;12;9;9;16;19;31;30;44;
 Domnarvsv−gen 10 A-J  ;m3;4802;4769;4941;3304;1352;963;683;957;1556;3167;4222;5321;
 Domnarvsv−gen 10 A-J  ;MWh;284060;293030;285670;172750;72500;53130;36470;51990;91250;167240;219760;284630;
 Domnarvsv−gen 10 A-J  ;kWh;3629;3275;3745;3549;2833;2486;2286;2655;3104;3695;3677;3702;
 Domnarvsv−gen 12 A-J  ;kWh;28;22;21;17;16;7;11;18;19;22;24;26;
 Domnarvsv−gen 14 A-J  ;kWh;709;690;788;366;142;125;27;111;315;254;362;614;
 Domnarvsv−gen 8 A-J  ;kWh;100;95;134;121;117;109;112;122;128;146;147;157;
 Hushagsgatan 10 A-G  ;kWh;103;74;77;50;46;42;43;50;49;55;73;70;
 Hushagsgatan 11 A-J  ;kWh;16;12;14;10;9;1;7;9;14;15;15;19;
 Hushagsgatan 13 A-J  ;kWh;253;244;215;98;69;52;58;68;87;113;151;239;
 Hushagsgatan 6 A-J  ;kWh;93;78;75;57;49;44;47;56;76;91;103;105;
 Hushagsgatan 7 A-J  ;kWh;78;66;59;52;43;37;45;57;68;79;76;77;
 Hushagsgatan 8 A-H  ;kWh;43;33;32;26;25;29;36;42;41;49;57;48;
 Hushagsgatan 9 A-J  ;kWh;125;112;117;109;111;107;111;111;111;121;124;128;
 Marknadsg 4A-E, Domnarvsv 7F-J  ;kWh;52;49;62;19;17;17;16;17;17;19;23;42;
 Marknadsgatan 3 A-J  ;kWh;485;463;353;89;61;42;38;49;60;122;229;364;
 Marknadsgatan 5 A-E  ;kWh;252;307;245;205;487;459;665;730;571;417;318;271;
 Torggatan 1 A-C  ;kWh;1712;1654;1840;1541;1691;1426;1389;1496;1372;1722;1537;1549;
 Torggatan 3 A-B  ;kWh;70;68;42;30;10;6;6;7;11;30;42;48;
 Torggatan 4 A-C  ;kWh;468;325;269;322;350;287;345;453;437;483;554;468;
 Torggatan 5 A-C  ;kWh;815;768;654;579;1186;1152;1815;1457;1043;851;755;685;
 Torggatan 6 A-C  ;kWh;21;19;22;31;44;48;65;71;48;36;29;25;
Domnarvsv−gen 7 A-J ;kWh;197;164;165;156;153;146;275;221;183;176;194;207;
Fırr„d ;kWh;2290;1828;2038;1172;644;475;627;641;555;661;1046;1330;
Garage ;kWh;887;814;849;548;222;57;51;59;228;336;449;648;
Garage Domnarvsv 10 ;kWh;390;336;300;128;118;104;107;116;125;169;310;1132;
 fırskola –stra ;kWh;5561;5191;5525;5458;5692;5270;5932;5830;5151;5867;5669;4873;
 fırskola –stra ;m3;270;252;240;138;73;55;44;55;72;144;208;253;
 fırskola –stra ;MWh;13711;13841;12179;5258;1824;1154;0792;1182;2344;5959;9286;11989;
 Hus 1, V byggn ;kWh;3;2;2;1;0;0;0;0;0;0;2;3;
 Hus 3, N byggn ;m3;511;495;469;259;101;73;57;71;149;290;420;536;
 Hus 3, N byggn ;MWh;29990;31269;28257;12856;3602;2301;1533;2218;7084;14793;21768;29591;
 Hus 3, N byggn ;kWh;20125;18187;18102;12590;12109;10865;12544;12520;11460;13507;15100;15995;
 Hus 5, verkstad ;m3;212;245;213;156;68;57;28;63;107;164;195;222;
 Hus 5, verkstad ;MWh;12543;12879;13119;8011;2721;2108;0716;2447;5246;8528;10089;12267;
Kapstigen 30 Tv−ttst ;kWh;9316;8662;8650;6344;3808;2607;2678;3191;4727;7570;8578;9508;
