90	536664 (anl)	10164-001: 164  Hagbacksgatan 32  (Byggnad )
90	536664 (anl)	10164-001: 164  Hagbacksgatan 32  (Byggnad )
91	536634 (anl)	10165-001: 165  Honefsgatan 3  (Byggnad )
91	536634 (anl)	10165-001: 165  Honefsgatan 3  (Byggnad )
92	536636 (anl)	10165-001: 165  Honefsgatan 3  (Byggnad )
92	536633 (anl)	10165-001: 165  Honefsgatan 3  (Byggnad )
93	536638 (anl)	10165-002: 165  Honefsgatan 5  (Byggnad )
93	536640 (anl)	10165-002: 165  Honefsgatan 5  (Byggnad )
94	536646 (anl)	10167-001: 167  Jınisgatan 11-15  (Byggnad )
94	536647 (anl)	10167-001: 167  Jınisgatan 11-15  (Byggnad )
95	536652 (anl)	10167-002: 167  Jınisgatan 7-9  (Byggnad )
95	536651 (anl)	10167-002: 167  Jınisgatan 7-9  (Byggnad )
96	536653 (anl)	10167-002: 167  Jınisgatan 7-9  (Byggnad )
97	536655 (anl)	10167-003: 167  Tolvmilav−gen 10-18  (Byggnad )
97	536655 (anl)	10167-003: 167  Tolvmilav−gen 10-18  (Byggnad )
98	536656 (anl)	10167-003: 167  Tolvmilav−gen 10-18  (Byggnad )
98	536654 (anl)	10167-003: 167  Tolvmilav−gen 10-18  (Byggnad )
99	634521 (anl)	10168-002: 168  Tolvmilav−gen 6 A-C  (Byggnad )
99	634521 (anl)	10168-002: 168  Tolvmilav−gen 6 A-C  (Byggnad )
100	637357 (anl)	10168-002: 168  Tolvmilav−gen 6 A-C  (Byggnad )
101	536661 (anl)	10169-001: 169  Logev−gen 2-4  (Byggnad )
101	536660 (anl)	10169-001: 169  Logev−gen 2-4  (Byggnad )
102	536518 (anl)	10181-028: 181  Domnarvsv 5A-E, Marknadsg 2F-J  (Byggnad )
103	536523 (anl)	10181-026: 181  Domnarvsv 9A-D,Marknadsg 6E-J  (Byggnad )
104	536514 (anl)	10181-030: 181  Domnarvsv−gen 10 A-J  (Byggnad )
104	536514 (anl)	10181-030: 181  Domnarvsv−gen 10 A-J  (Byggnad )
105	536515 (anl)	10181-030: 181  Domnarvsv−gen 10 A-J  (Byggnad )
105	637392 (anl)	10181-030: 181  Domnarvsv−gen 10 A-J  (Byggnad )
106	536506 (anl)	10181-031: 181  Domnarvsv−gen 12 A-J  (Byggnad )
107	536505 (anl)	10181-032: 181  Domnarvsv−gen 14 A-J  (Byggnad )
108	536516 (anl)	10181-029: 181  Domnarvsv−gen 8 A-J  (Byggnad )
109	536502 (anl)	10181-040: 181  Hushagsgatan 10 A-G  (Byggnad )
109	536503 (anl)	10181-040: 181  Hushagsgatan 10 A-G  (Byggnad )
110	536510 (anl)	10181-034: 181  Hushagsgatan 11 A-J  (Byggnad )
111	536504 (anl)	10181-033: 181  Hushagsgatan 13 A-J  (Byggnad )
112	536495 (anl)	10181-038: 181  Hushagsgatan 6 A-J  (Byggnad )
113	536517 (anl)	10181-036: 181  Hushagsgatan 7 A-J  (Byggnad )
114	536496 (anl)	10181-039: 181  Hushagsgatan 8 A-H  (Byggnad )
115	536511 (anl)	10181-035: 181  Hushagsgatan 9 A-J  (Byggnad )
116	536494 (anl)	10181-027: 181  Marknadsg 4A-E, Domnarvsv 7F-J  (Byggnad )
116	536519 (anl)	10181-027: 181  Marknadsg 4A-E, Domnarvsv 7F-J  (Byggnad )
117	536520 (anl)	10181-024: 181  Marknadsgatan 3 A-J  (Byggnad )
118	536524 (anl)	10181-025: 181  Marknadsgatan 5 A-E  (Byggnad )
119	536500 (anl)	10181-041: 181  Torggatan 1 A-C  (Byggnad )
120	536499 (anl)	10181-042: 181  Torggatan 3 A-B  (Byggnad )
120	536498 (anl)	10181-042: 181  Torggatan 3 A-B  (Byggnad )
121	536493 (anl)	10181-020: 181  Torggatan 4 A-C  (Byggnad )
122	536488 (anl)	10181-019: 181  Torggatan 5 A-C  (Byggnad )
123	536492 (anl)	10181-021: 181  Torggatan 6 A-C  (Byggnad )
124	536521 (anl)	181 Domnarvsv−gen 7 A-J (Byggnad )
125	536490 (anl)	181 Fırr„d (Utrymme)
126	536525 (anl)	181 Garage (Utrymme)
127	536507 (anl)	181 Garage Domnarvsv 10 (Utrymme)
128	633292 (anl)	10182-003: 182  fırskola –stra (Byggnad )
128	638336 (anl)	10182-003: 182  fırskola –stra (Byggnad )
129	638336 (anl)	10182-003: 182  fırskola –stra (Byggnad )
130	637349 (anl)	10182-001: 182  Hus 1, V byggn (Byggnad )
131	501521 (anl)	10182-002: 182  Hus 3, N byggn (Byggnad )
131	501521 (anl)	10182-002: 182  Hus 3, N byggn (Byggnad )
132	638280 (anl)	10182-002: 182  Hus 3, N byggn (Byggnad )
133	641957 (anl)	10182-004: 182  Hus 5, verkstad (Byggnad )
133	641957 (anl)	10182-004: 182  Hus 5, verkstad (Byggnad )
134	617245 (anl)	191 Kapstigen 30 Tv−ttst (Byggnad )
134	627708 (anl)	191 Kapstigen 30 Tv−ttst (Byggnad )
135	634276 (anl)	10195-002: 195  Ringv−gen 17 A  (Byggnad )
135	634276 (anl)	10195-002: 195  Ringv−gen 17 A  (Byggnad )
136	536740 (anl)	10195-002: 195  Ringv−gen 17 A  (Byggnad )
137	536743 (anl)	10195-001: 195  Ringv−gen 17 B  (Byggnad )
138	536753 (anl)	10197-003: 197  Alsb−ck 143  (Byggnad )
138	634275 (anl)	10197-003: 197  Alsb−ck 143  (Byggnad )
139	634275 (anl)	10197-003: 197  Alsb−ck 143  (Byggnad )
140	536248 (anl)	10201-005: 201  Klıverstigen 10 A-D  (Byggnad )
140	536249 (anl)	10201-005: 201  Klıverstigen 10 A-D  (Byggnad )
